Number|Gender|GivenName|Surname|StreetAddress|City|State|ZipCode|CountryFull|TelephoneNumber|Birthday|NationalID|Occupation|CCType
1455|male|Júlio|Ribeiro|Rua Professor Nelson Ribeiro 818|Belém|PA|66113-075|Brazil|(91) 5882-5694|11/21/1948|633.725.692-10|Masseuse|Visa
1456|male|Marcos|Martins|Praça Zumbi dos Palmares 1887|Recife|PE|52090-740|Brazil|(81) 5412-6550|2/11/1953|925.128.154-80|Billing and posting machine operator|Visa
1457|male|Kauan|Azevedo|Rua Olinda Ellis 560|Rio de Janeiro|RJ|23017-120|Brazil|(21) 7370-9183|6/21/1992|841.442.147-45|Industrial production manager|MasterCard
1458|female|Bruna|Souza|Quadra Quadra QR 303 Conjunto K 588|Santa Maria|DF|72503-611|Brazil|(61) 7597-7047|5/27/1988|270.027.960-38|Medical doctor|MasterCard
1459|female|Beatriz|Sousa|Rua Doutor José Seixas 772|São José do Rio Preto|SP|15076-070|Brazil|(17) 5166-5810|11/11/1991|115.390.357-19|Oral and maxillofacial surgeon|MasterCard
1460|male|Paulo|Cunha|Rua Professora Elizabeth Serafim de Oliveira 516|Campinas|SP|13059-086|Brazil|(19) 5092-9118|12/26/1972|894.101.560-09|Ophthalmic laboratory technician|MasterCard
1461|female|Carolina|Alves|Rua Carlos César Bruning 1430|Curitiba|PR|81570-560|Brazil|(41) 2094-4081|2/17/1935|977.317.997-43|Manifold binding worker|Visa
1462|female|Evelyn|Martins|Rua Carlos Niels 1070|Jaraguá do Sul|SC|89259-370|Brazil|(47) 4233-3078|11/27/1989|361.631.904-83|Furnace and kiln and oven and drier and and kettle tender|MasterCard
1463|female|Anna|Ribeiro|Rua Kablan Kronfly 1228|São Paulo|SP|04324-100|Brazil|(11) 6604-5918|3/24/1944|868.924.350-09|Hydrologist|Visa
1464|male|André|Lima|Praça do Jequitibá 664|Serra|ES|29177-675|Brazil|(27) 5919-7737|2/15/1988|469.833.709-70|Deckhand|MasterCard
1465|female|Luiza|Araujo|Quadra EQNM 21/23 Bloco C 1864|Ceilândia|DF|72215-583|Brazil|(61) 6854-2916|1/31/1974|351.583.337-42|Synoptic meteorologist|MasterCard
1466|male|Vinícius|Goncalves|Rua José Cordeiro 108|Belo Horizonte|MG|30642-080|Brazil|(31) 9014-3584|6/28/1931|353.461.978-18|Safety engineer|Visa
1467|female|Amanda|Barbosa|Rua Serra Negra 1012|Amparo|SP|13904-510|Brazil|(19) 7666-5746|2/17/1979|282.936.179-26|Career-technology teacher|Visa
1468|female|Ágatha|Dias|Rua C-5 650|Barretos|SP|14781-446|Brazil|(17) 3077-2087|11/30/1975|303.482.813-66|Placement counselor|MasterCard
1469|female|Amanda|Azevedo|Rua Couto de Magalhães 334|Belo Horizonte|MG|30270-210|Brazil|(31) 6338-3983|9/27/1955|456.831.174-88|Clinical laboratory scientist|Visa
1470|male|Daniel|Ferreira|Rua Benedito Julião Machado 160|São José dos Campos|SP|12209-750|Brazil|(12) 5903-3791|11/26/1931|239.416.125-65|Zookeeper|MasterCard
1471|female|Isabelle|Barros|Alameda K-1 1634|Barra Mansa|RJ|27336-590|Brazil|(24) 8023-7071|1/5/1945|176.759.028-82|Telephone service representative|Visa
1472|male|Kauan|Correia|Rua Marginal Dois 391|Hortolândia|SP|13185-564|Brazil|(19) 7959-5483|7/20/1936|452.926.813-69|CPA|MasterCard
1473|female|Giovanna|Alves|Rua Serra Canastra 977|Hortolândia|SP|13186-040|Brazil|(19) 6017-5537|4/1/1932|804.538.339-93|Power lineman|MasterCard
1474|female|Manuela|Pereira|Rua Rosa Maciel Mendes 426|Joinville|SC|89235-852|Brazil|(47) 8689-5821|7/14/1943|802.517.464-61|Relay technician|Visa
1475|male|Erick|Silva|Rua MG-004 563|Aparecida de Goiânia|GO|74965-470|Brazil|(62) 9050-7776|5/5/1933|626.451.437-33|Soil conservationist|MasterCard
1476|female|Beatrice|Ribeiro|Quadra Quadra 276 1745|Luziânia|GO|72821-245|Brazil|(61) 3180-9529|9/18/1947|217.613.826-08|Postal Service worker|MasterCard
1477|female|Carolina|Barbosa|Estrada Dona Generosa 189|Nova Iguaçu|RJ|26065-340|Brazil|(21) 9627-8750|5/31/1974|740.086.278-20|Railcar repairer|MasterCard
1478|male|Cauã|Souza|Avenida Arthur Nonato 142|São José do Rio Preto|SP|15084-000|Brazil|(17) 5851-9844|11/4/1942|717.903.376-66|Locker room attendant|MasterCard
1479|male|Bruno|Goncalves|Rua Manoel da Nóbrega 593|Recife|PE|51345-770|Brazil|(81) 3606-6895|10/4/1934|158.198.270-40|Physical therapist assistant|Visa
1480|male|Fábio|Santos|Rua Pedro Gomes da Mota 1079|Taboão da Serra|SP|06763-360|Brazil|(11) 6550-4560|2/4/1980|511.613.007-08|Osteopathic physician|MasterCard
1481|female|Vitoria|Pinto|Estrada Municipal Água Espraiada 76|Atibaia|SP|12948-126|Brazil|(11) 2694-2839|10/10/1960|508.683.449-07|Industrial property manager|Visa
1482|male|Marcos|Castro|Rua Barros Penteado 873|São Paulo|SP|08380-080|Brazil|(11) 7266-9501|7/14/1964|552.791.765-08|Sheet metal worker|Visa
1483|male|Cauã|Rodrigues|Rua Amaro Tavarez 1965|Umuarama|PR|87504-575|Brazil|(44) 9538-2394|8/12/1934|445.661.262-26|Synoptic meteorologist|Visa
1484|female|Isabela|Santos|Rua Setenta e Cinco 653|Suzano|SP|08690-405|Brazil|(11) 6626-7544|5/20/1935|437.722.534-07|Management assistant|MasterCard
1485|female|Tânia|Gomes|Rua Doutor Antônio Hermenegildo de Castro Neto 381|Recife|PE|50980-460|Brazil|(81) 5571-8969|1/9/1950|491.343.822-08|Abdominal sonographer|Visa
1486|male|Vinicius|Melo|Travessa Ademar Torres 1644|Nova Iguaçu|RJ|26010-013|Brazil|(21) 3066-3596|7/28/1994|579.084.552-55|Fund manager|Visa
1487|male|Danilo|Pereira|Rua Rodolfo Rohweder 1379|Blumenau|SC|89069-270|Brazil|(47) 6227-6441|8/19/1956|925.790.145-94|Manufactured building and mobile home installer|MasterCard
1488|female|Ana|Souza|Travessa Cento e Quatorze 592|Guarujá|SP|11495-046|Brazil|(13) 4371-5558|2/11/1986|989.546.463-01|Cardiographic technician|Visa
1489|female|Isabella|Araujo|Rua Barão de Antonina 20|São Paulo|SP|05329-040|Brazil|(11) 3947-8368|6/22/1936|646.598.805-40|Security officer|MasterCard
1490|male|Miguel|Ferreira|Rua Ananias 774|Rio de Janeiro|RJ|22773-000|Brazil|(21) 9560-4381|3/26/1973|417.047.865-76|Homeowner association manager|MasterCard
1491|female|Tânia|Almeida|Praça Cícero de Miranda 1783|Guarulhos|SP|07074-041|Brazil|(11) 6325-2086|11/13/1936|245.193.353-45|Contract skidder|MasterCard
1492|male|Luis|Martins|Rua Lucidônio José da Silva 603|Criciúma|SC|88811-807|Brazil|(48) 8460-3735|12/12/1952|681.443.880-11|Child care worker|Visa
1493|female|Camila|Costa|Rua Heráclito 1326|Belo Horizonte|MG|31990-370|Brazil|(31) 4401-7714|5/22/1981|941.780.496-07|Paper coating machine operator|Visa
1494|male|Renan|Santos|Rua Doutor Herculano José da Silva 1326|São Paulo|SP|05055-050|Brazil|(11) 4186-3438|6/25/1966|418.804.021-14|Camera repairer|MasterCard
1495|male|Renan|Rocha|Rua Francisco Botogoski 1744|Castro|PR|84172-170|Brazil|(42) 5146-2610|9/13/1934|768.116.490-11|Encoding clerk|Visa
1496|male|Luís|Pinto|Rua Desembargador Garcia 1748|Fortaleza|CE|60430-150|Brazil|(85) 2819-2981|7/4/1985|494.168.330-70|Refractory materials repairer|MasterCard
1497|male|Davi|Sousa|Rua Altamiro Zen 1075|Blumenau|SC|89035-390|Brazil|(47) 5054-4625|6/29/1964|836.817.941-62|Real estate appraiser|Visa
1498|male|Luís|Alves|Rua Luiz Morselli Filho 1530|Londrina|PR|86073-740|Brazil|(43) 7397-6566|9/5/1959|423.467.222-00|News writer|Visa
1499|female|Bianca|Fernandes|Rua dos Sombreiros 572|Goiânia|GO|74680-520|Brazil|(62) 5980-6493|11/10/1989|327.192.428-70|Paymaster|Visa
1500|male|Martim|Ferreira|Rua da Ametista 889|Porto Velho|RO|78908-090|Brazil|(69) 5879-3190|3/24/1972|361.045.754-63|Bricklayer|Visa
1501|male|Mateus|Alves|Rua São Pedro 1067|Vitória|ES|29072-240|Brazil|(27) 8404-7157|10/12/1950|105.419.160-33|Loan closer|MasterCard
1502|female|Rafaela|Azevedo|Rua Rodrigues Cannes 437|São Gonçalo|RJ|24740-007|Brazil|(21) 2214-5516|9/21/1957|579.625.987-35|Glazier|MasterCard
1503|female|Bruna|Dias|Rua Utrillo 497|Rio de Janeiro|RJ|20771-550|Brazil|(21) 6965-3471|11/30/1991|209.220.668-09|Wastewater treatment plant and system operator|Visa
1504|female|Letícia|Pinto|Rua Três 813|Petrolina|PE|56314-465|Brazil|(87) 5272-6193|7/19/1985|679.481.175-80|State police officer|MasterCard
1505|male|Rodrigo|Almeida|Rua NE 20 644|Fortaleza|CE|60543-555|Brazil|(85) 2158-6449|11/23/1991|676.147.097-80|Computer control programmer|MasterCard
1506|female|Tânia|Santos|Rua Jordim Piedade 457|Maringá|PR|87045-390|Brazil|(44) 7258-7865|8/12/1941|328.483.865-17|Historian|Visa
1507|male|Gustavo|Ferreira|Rua C 1490|Piracicaba|SP|13423-318|Brazil|(19) 7278-8954|11/10/1965|896.997.548-93|Woodworking machine operator|MasterCard
1508|male|Arthur|Goncalves|Estrada Luís Mário Rocha Lima 1644|Queimados|RJ|26331-000|Brazil|(21) 5172-6819|1/26/1949|960.549.972-03|Coin and vending and and amusement machine servicer repairer|Visa
1509|female|Eduarda|Oliveira|Rua PF - 005 1520|Brusque|SC|88357-082|Brazil|(47) 8636-4311|5/15/1977|816.204.716-63|Office machine and cash register technician|Visa
1510|male|Leonardo|Cavalcanti|Rua João de Lara 796|Curitiba|PR|82200-090|Brazil|(41) 2732-3883|3/28/1978|325.350.754-82|Cooking instructor|MasterCard
1511|male|Vinicius|Ferreira|Rua Jerônimo Peixoto Vale 1629|Macaé|RJ|27915-050|Brazil|(22) 8904-7539|3/21/1984|166.470.341-10|Sales clerk|MasterCard
1512|female|Isabela|Silva|Rua 3 213|Jataí|GO|75801-260|Brazil|(64) 4790-4337|6/22/1933|435.852.312-92|Industrial therapist|Visa
1513|female|Letícia|Pereira|Rua Aruanás 1572|São Paulo|SP|04240-160|Brazil|(11) 5521-2894|11/21/1953|805.353.046-09|Stenocaptioner|Visa
1514|male|André|Rocha|Rua das Avencas 1307|Franco da Rocha|SP|07861-270|Brazil|(11) 6888-9117|2/14/1965|313.394.221-23|Metalworking machine operator|MasterCard
1515|female|Rafaela|Ribeiro|Rua Marmelo 752|Jaboatão dos Guararapes|PE|54495-760|Brazil|(81) 8833-7997|12/8/1952|892.229.729-88|Mail superintendent|MasterCard
1516|male|Leonardo|Cardoso|Estrada do Filipão 700|Campinas|SP|13051-227|Brazil|(19) 7925-5496|2/11/1929|425.220.183-70|Correspondence clerk|MasterCard
1517|male|Otávio|Rodrigues|Rua Professor Nicolau Moraes Barros 877|São Paulo|SP|05439-120|Brazil|(11) 8914-6780|11/10/1945|393.344.598-16|Vascular technologist|Visa
1518|female|Nicole|Alves|Quadra QI 09 Bloco P 1925|Guará|DF|71020-168|Brazil|(61) 6227-9303|9/14/1937|157.350.597-85|Heavy-duty truck mechanic|MasterCard
1519|male|Tiago|Ribeiro|Rua Equador 1542|Divinópolis|MG|35500-564|Brazil|(37) 4550-6878|9/26/1937|789.886.953-21|Chemical equipment operator|MasterCard
1520|female|Gabrielly|Cavalcanti|Avenida Dom Pedro I 620|Guarujá|SP|11440-003|Brazil|(13) 2426-5380|3/22/1955|982.186.659-00|Radiation protection technician|Visa
1521|male|Paulo|Castro|Beco da Caseb 400|Salvador|BA|40330-640|Brazil|(71) 2759-8637|8/24/1986|196.965.015-01|Coast Guard|Visa
1522|female|Anna|Martins|Rua Feliciano Missio 174|Campinas|SP|13058-117|Brazil|(19) 4566-5052|2/18/1965|982.713.076-57|Gerontology social worker|MasterCard
1523|female|Gabrielle|Barbosa|Rua Araioses 1945|São Paulo|SP|05442-010|Brazil|(11) 3987-5275|2/22/1969|540.733.376-70|Crane and tower operator|Visa
1524|male|Guilherme|Araujo|Rua Carolina Medeiros 1711|Teixeira de Freitas|BA|45996-495|Brazil|(73) 3546-5541|4/29/1971|148.386.847-89|Trauma nurse|MasterCard
1525|female|Maria|Lima|Rua Gonzaga 524|São Leopoldo|RS|93020-040|Brazil|(51) 9122-5642|5/15/1987|188.951.752-63|Mortgage broker|Visa
1526|male|Luiz|Souza|Rua Cachoeira Aquibi 911|São Paulo|SP|05868-020|Brazil|(11) 5422-5620|7/18/1939|499.667.360-50|Neurosonographer|MasterCard
1527|female|Marisa|Rodrigues|Travessa José Silvério 1021|Rio de Janeiro|RJ|21616-300|Brazil|(21) 5558-7781|7/20/1931|480.566.604-88|Surveyor|MasterCard
1528|male|André|Oliveira|Rua Santa Fé 1317|Contagem|MG|32073-015|Brazil|(31) 6438-3582|4/23/1950|719.618.592-70|Plating and coating machine tender|MasterCard
1529|female|Isabela|Martins|Rua Camerino 1529|Porto Alegre|RS|90690-320|Brazil|(51) 5246-3867|9/22/1969|292.080.586-03|Baggage porter|Visa
1530|male|Arthur|Melo|Rua Gilberto Antônio Sirena 1758|Caxias do Sul|RS|95074-580|Brazil|(54) 4034-8345|4/15/1989|849.212.372-98|Power plant mechanic|Visa
1531|female|Julieta|Silva|Estrada da Barra de Guaratiba 1225|Rio de Janeiro|RJ|23020-240|Brazil|(21) 2778-6675|8/18/1960|419.904.066-88|Regional geographer|MasterCard
1532|male|Danilo|Fernandes|Rua do Trilho 1470|Caucaia|CE|61605-030|Brazil|(85) 3435-9932|10/11/1983|894.150.017-63|Machine offbearer|Visa
1533|male|André|Dias|Rua Coronel Rezende 1587|Gravataí|RS|94090-600|Brazil|(51) 5930-5685|12/19/1960|725.465.839-05|Corporate investigator|Visa
1534|female|Clara|Souza|Rua São Francisco 1937|Fortaleza|CE|60871-775|Brazil|(85) 5259-9848|5/15/1974|968.850.922-15|Aircraft cargo handling supervisor|Visa
1535|male|Luan|Ribeiro|Travessa Freitas Henrique 1984|Salvador|BA|40320-545|Brazil|(71) 6663-7116|2/4/1960|907.685.710-57|General clerk|MasterCard
1536|female|Bianca|Dias|Rua Piratinins 399|Tupã|SP|17603-040|Brazil|(14) 3002-9983|3/28/1963|586.108.211-10|Diesel mechanic|MasterCard
1537|female|Larissa|Lima|Rua Sergipe 1933|Cuiabá|MT|78065-320|Brazil|(65) 9858-8828|8/30/1947|329.602.220-16|Chiropractor|MasterCard
1538|female|Bruna|Martins|Rua Santo Antônio do Ica 1772|Guarulhos|SP|07131-390|Brazil|(11) 8690-6232|9/1/1991|585.776.151-46|Floor installer|MasterCard
1539|male|Gustavo|Souza|Rua Bráulio Soares 135|São Gonçalo|RJ|24445-060|Brazil|(21) 3262-6867|4/5/1937|603.864.511-09|Lift truck operator|Visa
1540|female|Sarah|Souza|Rua Belas Artes 763|Campo Grande|MS|79045-020|Brazil|(67) 3625-9269|2/15/1959|114.713.400-66|Structural engineer|Visa
1541|female|Letícia|Araujo|Rua Paraíba 880|Juiz de Fora|MG|36048-130|Brazil|(32) 8139-7001|12/23/1947|517.948.376-04|Aircraft systems assembler|Visa
1542|male|Danilo|Almeida|Rua Trinta e Dois 838|Ituiutaba|MG|38302-004|Brazil|(34) 8460-5120|12/9/1981|250.320.460-00|Image designer|MasterCard
1543|female|Emilly|Alves|Avenida Tenente Haraldo Egídio de Souza Santos 1165|Campinas|SP|13070-160|Brazil|(19) 6137-9861|2/13/1934|459.215.811-35|Plant custodian|MasterCard
1544|male|Gabriel|Barbosa|Rua Maria de Lourdes Coutinho Torres 936|João Pessoa|PB|58046-170|Brazil|(83) 4805-4353|11/16/1984|614.084.427-44|Truck driver|Visa
1545|female|Isabelle|Correia|Rua Gilberto Martinelli 1985|Limeira|SP|13486-552|Brazil|(19) 4028-4317|12/15/1944|908.440.005-40|Extruding and forming machine operator|Visa
1546|male|Kai|Barbosa|Rua L 714|Cuiabá|MT|78055-728|Brazil|(65) 7967-9014|2/8/1963|218.613.386-51|Job placement officer|MasterCard
1547|male|Kaua|Carvalho|Rua Professor Guilherme Largura 1264|Blumenau|SC|89066-547|Brazil|(47) 7057-5209|5/27/1980|833.277.982-06|Principal|MasterCard
1548|male|Cauã|Oliveira|Rua Luiz Pedro Bom 1015|Ribeirão Preto|SP|14076-260|Brazil|(16) 6142-3167|7/20/1932|933.340.104-06|General trial court judge|MasterCard
1549|female|Tânia|Melo|Rua J 166|Sete Lagoas|MG|35703-222|Brazil|(31) 4386-9054|10/27/1971|825.702.077-05|Neonatal nurse|Visa
1550|male|Gustavo|Araujo|Rua Ana Joaquina Aguiar 1734|Piracicaba|SP|13408-190|Brazil|(19) 9046-3530|11/4/1966|748.032.665-30|Loan underwriter|MasterCard
1551|female|Isabelle|Carvalho|Rua Carmem Gobbato 639|Caxias do Sul|RS|95095-090|Brazil|(54) 4240-2993|1/13/1961|512.360.014-00|Sawing machine tender|Visa
1552|female|Gabrielly|Melo|Praça Sebastião de Paula 416|Americana|SP|13471-329|Brazil|(19) 7921-4924|5/19/1958|894.484.388-00|Zookeeper|MasterCard
1553|female|Evelyn|Alves|Rua do Pica-Pau 903|Petrolina|PE|56326-290|Brazil|(87) 4343-9756|7/24/1945|421.349.536-16|Publicist|Visa
1554|female|Mariana|Carvalho|Rua Dantas 861|Recife|PE|52090-160|Brazil|(81) 3206-5999|12/30/1964|238.902.821-72|Science technician|Visa
1555|female|Camila|Sousa|Rua das Missões 1307|Foz do Iguaçu|PR|85851-240|Brazil|(45) 6514-4423|5/11/1977|433.568.865-25|Catering manager|MasterCard
1556|female|Isabella|Ribeiro|2ª Travessa Joaquim dos Couros 146|Salvador|BA|40290-645|Brazil|(71) 3783-8694|8/15/1992|801.923.059-99|Service technician|Visa
1557|female|Livia|Pereira|Rua Caetés 1316|Aparecida de Goiânia|GO|74914-120|Brazil|(62) 4279-8554|12/1/1970|650.064.287-24|Nuclear engineer|MasterCard
1558|female|Amanda|Silva|Acesso Ceres 1115|Porto Alegre|RS|91230-500|Brazil|(51) 6510-4281|8/24/1966|144.438.190-37|Sheriff|Visa
1559|male|Joao|Goncalves|Rua Concórdia 1919|São José dos Campos|SP|12238-440|Brazil|(12) 4237-8969|9/30/1965|474.485.197-51|Claims appraiser|Visa
1560|female|Letícia|Martins|Rua C 1326|Fortaleza|CE|60743-235|Brazil|(85) 6072-6229|10/20/1945|218.245.946-40|Bicycle repairer|Visa
1561|female|Beatriz|Lima|Rua Beatriz Pompeo de Camargo 1678|Campinas|SP|13065-270|Brazil|(19) 4686-2252|12/26/1990|381.908.359-63|Streetcar operator|Visa
1562|male|Lucas|Carvalho|Rua Gaspar de Freitas 1601|São Gonçalo|RJ|24450-270|Brazil|(21) 6963-7876|3/19/1948|628.164.228-79|Motorcycle mechanic|Visa
1563|female|Maria|Sousa|Praça Aristóbulo Inocêncio Ferreira 448|Vitória|ES|29065-270|Brazil|(27) 2613-4487|2/6/1935|839.067.024-05|Air Force|Visa
1564|male|Caio|Souza|Rua Antônio Alves 547|Natal|RN|59139-370|Brazil|(84) 3981-7725|9/16/1991|704.731.911-56|Maintenance electrician|Visa
1565|female|Sarah|Cavalcanti|Rua Margarida Barbosa 258|São Gonçalo|RJ|24741-440|Brazil|(21) 4957-3813|1/12/1984|257.887.031-40|Reservation and transportation ticket agent|MasterCard
1566|male|Bruno|Carvalho|Rua Vinte e Um 868|Jaboatão dos Guararapes|PE|54350-640|Brazil|(81) 8253-6564|12/11/1985|995.034.704-12|Construction job cost estimator|Visa
1567|female|Raissa|Rodrigues|Avenida José Barbosa de Siqueira 1193|Osasco|SP|06172-002|Brazil|(11) 3579-5973|2/28/1986|107.186.534-08|Diesel train engineer|MasterCard
1568|male|Marcos|Pinto|Rua Porto Xavier 1125|Viamão|RS|94465-290|Brazil|(51) 9137-5591|8/3/1956|868.019.794-77|Computer systems software engineer|Visa
1569|female|Bruna|Fernandes|Rua Pedro de Toledo 1798|Guarujá|SP|11460-110|Brazil|(13) 9253-6630|5/9/1928|304.885.990-08|Medical doctor|Visa
1570|male|Luis|Fernandes|Praça Maria Luíza Pavan Buratto 1011|Campinas|SP|13084-370|Brazil|(19) 9384-4552|3/31/1949|241.893.886-70|Shoe and leather repairer|Visa
1571|female|Matilde|Ribeiro|Rua Raul Torres Pessoa 407|Cataguases|MG|36773-584|Brazil|(32) 5446-4990|8/31/1984|861.251.834-24|Purchasing agent|MasterCard
1572|female|Rebeca|Sousa|Rua L-36 1587|Boa Vista|RR|69307-060|Brazil|(95) 5398-9833|3/1/1987|416.074.143-68|Counter and rental clerk|MasterCard
1573|female|Manuela|Carvalho|Rua Matinhos 826|Umuarama|PR|87508-147|Brazil|(44) 6547-7446|10/25/1944|557.813.387-80|Occupational therapist aide|Visa
1574|female|Brenda|Costa|Rua Floriano Peixoto 1482|Assis|SP|19800-010|Brazil|(18) 3234-2795|2/27/1970|948.581.356-24|Crop scientist|Visa
1575|female|Amanda|Sousa|Rua Corumbá 626|Guarulhos|SP|07272-420|Brazil|(11) 3497-5505|4/27/1942|488.042.202-95|Assistant editor|Visa
1576|male|Enzo|Silva|Rua Nova Granada 715|Catanduva|SP|15806-375|Brazil|(17) 9464-7841|4/5/1942|783.701.128-70|Mail superintendent|MasterCard
1577|female|Ana|Castro|Rua Hildete Franca Teixeira 1497|Salvador|BA|40370-010|Brazil|(71) 5389-3386|12/21/1962|592.941.758-04|Border Patrol agent|MasterCard
1578|female|Leonor|Goncalves|Rua Caio Martins 979|Contagem|MG|32115-030|Brazil|(31) 8046-8275|6/14/1928|817.782.993-93|New accounts clerk|MasterCard
1579|male|Martim|Gomes|Avenida por Sol 560|Campo Grande|MS|79106-100|Brazil|(67) 2637-3587|5/10/1994|875.351.298-70|Recreation leader|MasterCard
1580|male|Arthur|Ribeiro|Rua Pouso Alegre 167|Rio de Janeiro|RJ|23085-730|Brazil|(21) 2886-7094|2/26/1972|527.784.244-66|Accounting clerk|Visa
1581|male|João|Lima|Rua Anastácia 1562|São Paulo|SP|04421-160|Brazil|(11) 4386-8027|8/31/1933|268.132.441-67|Powerhouse electrician|Visa
1582|female|Ana|Rocha|Rua São José 1403|Guarapari|ES|29221-155|Brazil|(27) 4734-7883|1/9/1956|701.851.569-67|Industrial photographer|MasterCard
1583|female|Raissa|Ferreira|Rua do Decorador 568|Uberlândia|MG|38412-364|Brazil|(34) 5754-3487|3/5/1946|742.794.078-43|Principal secretary|MasterCard
1584|female|Camila|Sousa|Vila Ibiapina 56|Fortaleza|CE|60346-530|Brazil|(85) 5336-4654|5/19/1937|623.422.426-11|Medical assistant|MasterCard
1585|male|Vinicius|Cunha|Praia Perigoso 183|Rio de Janeiro|RJ|23020-796|Brazil|(21) 8104-7371|4/30/1966|739.816.789-07|Cinematographer|Visa
1586|male|Kaua|Oliveira|Rua Itacambira 1959|Belo Horizonte|MG|30210-400|Brazil|(31) 7200-8822|3/22/1971|310.102.545-10|Weather forecaster|Visa
1587|male|Ryan|Ferreira|Avenida Capela Nova 1262|Sete Lagoas|MG|35702-116|Brazil|(31) 5239-8542|8/17/1994|945.993.387-45|Marketing research analyst|Visa
1588|male|Diogo|Oliveira|Rua Evaristo de Almeida 1120|Três Lagoas|MS|79620-350|Brazil|(67) 5216-9872|6/14/1955|945.471.095-83|Medical illustrator|Visa
1589|female|Laura|Cardoso|Passagem do Carmo 159|Belém|PA|66640-700|Brazil|(91) 6192-6946|6/16/1967|116.980.736-40|Sewage treatment plant operator|MasterCard
1590|female|Carolina|Oliveira|Rua Alfredo Cardoso 992|Mogi das Cruzes|SP|08710-280|Brazil|(11) 8224-4815|10/15/1981|972.359.594-01|Purchase-and-sales clerk|MasterCard
1591|male|Tiago|Ribeiro|Rua César Lattes 1637|Goiânia|GO|74333-060|Brazil|(62) 9466-4111|11/21/1994|661.381.769-44|Wait staff|Visa
1592|female|Emily|Castro|Avenida do Tempero 1829|Rio de Janeiro|RJ|20941-580|Brazil|(21) 2133-8653|6/25/1948|907.986.144-80|Garbage collector|MasterCard
1593|male|Luan|Sousa|Rua Vll 761|Várzea Grande|MT|78118-785|Brazil|(65) 5745-4704|1/12/1977|716.556.226-50|Home entertainment service technician|MasterCard
1594|male|Vitor|Rodrigues|Rua Seis 1827|Limeira|SP|13481-663|Brazil|(19) 4970-9929|3/30/1940|599.908.871-28|Speech-language pathologist|Visa
1595|male|Vitor|Cunha|Rua dos Coqueiros 198|Itaguaí|RJ|23855-230|Brazil|(21) 3336-7096|7/30/1973|205.118.455-02|Service station attendant|MasterCard
1596|female|Marina|Goncalves|Rua das Nações 1984|Anápolis|GO|75084-580|Brazil|(62) 2375-2683|1/7/1964|226.964.489-14|Word processor|MasterCard
1597|female|Gabrielle|Alves|Quadra Central Bloco 14 249|Sobradinho|DF|73010-524|Brazil|(61) 9381-5969|11/25/1950|604.505.152-14|Community health educator|Visa
1598|female|Aline|Pinto|Alameda Everest 403|Santana de Parnaíba|SP|06543-135|Brazil|(11) 2241-3508|2/17/1982|758.137.844-62|Foot doctor|Visa
1599|female|Isabelle|Santos|Rua Cristalina 835|Serra|ES|29161-550|Brazil|(27) 6430-7237|8/24/1969|815.317.703-63|Video camera operator|MasterCard
1600|male|Erick|Cardoso|Rua da Mangueira 1421|Boa Vista|RR|69307-570|Brazil|(95) 4157-3538|3/7/1955|452.690.095-87|Patient representative|Visa
1601|female|Ágatha|Martins|Rua Antônio Augusto Palhares 1983|Assis|SP|19803-025|Brazil|(18) 2910-5459|3/24/1952|973.615.284-73|Office and administrative support worker manager|Visa
1602|female|Sarah|Gomes|Rua Isaura Gomes Fermiano 1974|Osasco|SP|06050-270|Brazil|(11) 4882-8600|11/3/1975|295.488.595-56|Library binding worker|Visa
1603|male|Rodrigo|Almeida|Rua Oswaldo Cochrane 224|Santos|SP|11040-111|Brazil|(11) 3985-9063|12/27/1977|395.813.387-80|Development specialist|MasterCard
1604|male|Matheus|Carvalho|Rua Antônio Penha 1388|Presidente Prudente|SP|19045-170|Brazil|(18) 9757-7324|12/11/1943|711.124.999-20|Referee|MasterCard
1605|female|Larissa|Ribeiro|Rua Três 1201|Indaiatuba|SP|13337-013|Brazil|(19) 6282-7417|11/25/1930|918.739.237-24|Housekeeping cleaner|Visa
1606|female|Isabela|Ferreira|Loteamento São Bento 1905|João Pessoa|PB|58025-570|Brazil|(83) 6112-7424|3/17/1967|373.665.137-68|Elevator inspector|MasterCard
1607|female|Tânia|Silva|Rua Capitão João Batista 1082|São Gonçalo|RJ|24744-810|Brazil|(21) 3024-4042|1/24/1946|353.737.325-24|Rigging chaser|MasterCard
1608|female|Isabella|Silva|Rua Guanas 1748|São Paulo|SP|05627-000|Brazil|(11) 8995-3445|12/12/1930|174.126.691-25|Perianesthesia nurse|MasterCard
1609|female|Ágatha|Lima|Rua Ingazeiro 1706|Japeri|RJ|26415-310|Brazil|(21) 6124-8413|6/25/1930|302.047.728-00|Neonatal nurse|Visa
1610|male|Fábio|Rodrigues|Rua Maria José dos Santos Domingues 125|Itapetininga|SP|18212-500|Brazil|(15) 7122-2839|11/6/1937|887.484.653-30|Network administrator|MasterCard
1611|female|Emilly|Martins|Caminho B-2-Qd B 553|Salvador|BA|41342-380|Brazil|(71) 2494-7295|9/26/1931|948.927.592-10|Grocery bagger|Visa
1612|male|João|Lima|Rua Ana Lúcia 1507|Belo Horizonte|MG|30610-680|Brazil|(31) 8988-4018|10/31/1942|481.966.066-72|Medical equipment preparer|MasterCard
